kind,item_id,title,governance_status,enabled_flag,technical_chain,opening_category,reason,evidence
量表,student_profile_v1,学生支持性画像测评,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,emotion_regulation_erq,情绪调节问卷（Gross ERQ）,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,parent_reflective_functioning_prfq,家长反思功能问卷,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,self_compassion_scs_cn,自我关怀量表（SCS 中文版）,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,mindful_attention_awareness_maas,正念注意觉知量表（MAAS）,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,emotional_resilience_11,青少年情绪弹性问卷,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,study_engagement_uwes_s_17,学习投入量表（UWES-S 中文版）,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,cd_risc10_brief_resilience,简式心理韧性量表（CD-RISC-10）,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,parental_burnout_pba,父母养育倦怠问卷,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,acceptance_action_aaq2,接纳与行动问卷（AAQ-II）,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
量表,rsca_adolescent_resilience,青少年心理韧性量表（RSCA）,pilot_approved,True,完整,开放,治理批准、入口启用且技术链存在,content/assessment_worksheets.json；/api/assessments；小程序 assessment 页面
